trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
5,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,47,17,1,46,2,3,0,0,0,0.0,0,0,134,95,39,341,0,41,3214.858856,78.41119160975609,112.505232,156.203452,205.440319,3212.004591000001,78.34157539024392,112.467441,156.024098,205.181577,24,2.854265,0.11892770833333333,0.1015165,0.258742,0.397938,completed
5,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,41,15,2,38,4,1,0,0,0,0.0,0,0,127,84,43,347,0,48,3940.1746869999997,82.08697264583333,99.322674,204.364182,239.492823,3937.5441579999997,82.03216995833333,99.111818,204.299928,239.244992,28,2.630529,0.0939474642857143,0.0619815,0.259383,0.411729,completed
5,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,15,5,0,16,0,0,0,0,0,0.0,0,0,84,32,52,390,0,75,8954.255956000005,119.3900794133334,133.638817,188.926088,213.809131,8949.120146,119.32160194666666,133.572324,188.81358,213.560148,66,5.13581,0.07781530303030304,0.0627655,0.243031,0.260695,completed
5,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,42,13,0,43,0,1,1,1,0,0.0,0,0,130,87,43,344,0,50,4044.4287390000004,80.88857478000001,94.741871,201.452289,237.379848,4041.291991,80.82583982,94.73278400000001,201.406563,237.162864,32,3.1367480000000003,0.09802337500000001,0.058174000000000003,0.263126,0.269878,completed
6,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,48,14,0,48,1,2,0,0,0,0.0,0,0,126,97,29,355,0,37,2381.0861590000004,64.35367997297298,93.032486,142.906903,148.027321,2378.8971820000006,64.29451843243245,93.024742,142.757629,147.803617,20,2.1889769999999995,0.10944884999999997,0.105436,0.257046,0.264502,completed
6,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,46,12,2,44,3,3,0,0,0,0.0,0,0,127,94,33,353,0,44,3594.7400420000004,81.69863731818182,105.994599,208.794654,220.101469,3591.2587320000002,81.61951663636364,105.923834,208.608133,219.876645,27,3.4813099999999997,0.1289374074074074,0.132187,0.267254,0.270934,completed
6,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,37,13,0,38,0,0,0,0,0,0.0,0,0,119,76,43,361,0,55,4217.21411,76.67662018181818,79.503128,184.223718,224.877552,4214.730713,76.63146750909091,79.493913,184.036109,224.725525,37,2.4833969999999996,0.06711883783783783,0.009536,0.256374,0.275254,completed
6,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,34,11,0,33,2,0,0,0,0,0.0,0,0,109,71,38,371,0,57,4560.421340999999,80.0073919473684,80.992577,156.988751,157.502301,4557.773919,79.96094594736843,80.983265,156.757751,157.313476,41,2.647422,0.06457126829268293,0.025983,0.223288,0.271446,completed
7,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,33,9,1,32,2,0,0,0,0,0.0,0,0,120,71,49,399,0,65,5877.053620000001,90.41620953846154,95.031492,181.288639,214.30887,5873.307709,90.35858013846153,95.000773,181.057416,214.114701,50,3.7459110000000004,0.07491822000000001,0.0415345,0.231223,0.27007,completed
7,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,36,12,0,37,0,2,0,0,0,0.0,0,0,116,75,41,403,0,60,5055.405436,84.25675726666667,105.537396,173.062478,269.965257,5052.438859000001,84.20731431666668,105.52192450000001,172.84383,269.746897,41,2.966577,0.07235553658536585,0.029407,0.233815,0.270454,completed
