condition_id,algorithm,top_k_rate,top_k_max_cells,scenario_count,robot_rows,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean
multitarget_g19_r4_t50_hipc_topk025,HIPC,0.25,13,100,400,22072,54820.6751,2.483720328923523,42102.6055,1.9075120288147878,22072,12718.0696,0.576208300108735
multitarget_g19_r4_t50_hipc_topk010,HIPC,0.1,5,100,400,25416,32887.5041,1.293968527699087,17902.7575,0.7043892626691848,25416,14984.7466,0.5895792650299024
multitarget_g19_r4_t50_hipc_topk005,HIPC,0.05,3,100,400,36738,40095.8188,1.091399063639828,17779.6761,0.4839587375469541,36738,22316.1427,0.6074403260928739
multitarget_g19_r4_t50_dmchba_topk100,DMCHBA,1,50,100,400,18219,122203.0729,6.70745226960865,114780.4071,6.300038811131237,16311,7422.6658,0.45507116669732084
multitarget_g19_r4_t50_dmchba_topk075,DMCHBA,0.75,38,100,400,18467,96623.3284,5.232215757838306,88191.8338,4.775644869226187,16801,8431.4946,0.5018448068567347
multitarget_g19_r4_t50_dmchba_topk050,DMCHBA,0.5,25,100,400,18063,56320.2705,3.1179909483474506,48000.4953,2.6573933067596744,15839,8319.7752,0.5252714944125261
multitarget_g19_r4_t50_dmchba_topk025,DMCHBA,0.25,13,100,400,17768,25257.6695,1.4215257485366952,17007.5134,0.9571990882485367,15292,8250.1561,0.5395079845670939
multitarget_g19_r4_t50_dmchba_topk010,DMCHBA,0.1,5,100,400,18483,14485.9035,0.78374200616783,5266.8113,0.2849543526483796,16959,9219.0922,0.5436106020402146
multitarget_g19_r4_t50_dmchba_topk005,DMCHBA,0.05,3,100,400,18571,13890.9895,0.7479936190835172,2918.6973,0.157164250713478,19443,10972.2922,0.5643312348917348
multitarget_g19_r4_t50_dga_topk100,DGA,1,50,100,400,15761,7233993.457,458.9806139838843,7230612.9218,458.76612662902096,5456,3380.5352,0.619599560117302
multitarget_g19_r4_t50_dga_topk075,DGA,0.75,38,100,400,15792,5923989.6314,375.12598983029386,5920357.4774,374.89599021023304,5393,3632.154,0.6734941590951233
multitarget_g19_r4_t50_dga_topk050,DGA,0.5,25,100,400,15778,4042870.9475000002,256.2346905501331,4039415.5403,256.0156889529725,5069,3455.4072,0.6816743341882028
multitarget_g19_r4_t50_dga_topk025,DGA,0.25,13,100,400,15809,2493590.9944,157.73236728445823,2489915.1043,157.4998484597381,5088,3675.8901,0.7224626768867924
multitarget_g19_r4_t50_dga_topk010,DGA,0.1,5,100,400,16297,1490313.8369,91.44712750199423,1485782.9805,91.1691096827637,6389,4530.8564,0.7091651901706056
multitarget_g19_r4_t50_dga_topk005,DGA,0.05,3,100,400,19296,1649045.9803,85.46050892931177,1642476.6939,85.12006083644279,10679,6569.2864,0.6151593220338983
