# condition: distribution=1, clues_per_object=4, grid_size=19
# base_seed: None
episode,object_x,object_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
74,9,0,10,2,12,2,16,0,10,1
75,10,10,15,9,10,7,14,6,7,16
76,17,4,18,2,10,15,14,12,5,2
77,1,0,5,8,1,1,17,9,15,13
78,12,17,13,16,7,5,12,16,9,5
79,15,13,14,18,13,11,15,14,9,8
80,13,8,18,12,3,15,10,6,5,1
81,4,17,2,16,12,10,17,13,15,5
82,0,8,14,16,7,15,1,6,2,3
83,16,3,18,7,0,1,3,1,10,1
84,18,15,17,13,11,15,14,14,18,18
85,5,11,6,12,9,13,9,11,10,17
86,0,1,11,14,0,6,5,3,0,0
87,4,10,4,15,4,12,0,7,13,9
88,7,1,10,5,6,4,9,0,5,0
89,13,2,7,0,3,3,7,1,4,15
90,3,8,10,3,3,9,2,7,4,17
91,2,12,2,14,3,8,4,12,17,3
92,11,9,12,0,6,12,9,6,0,12
93,0,1,8,5,4,4,1,10,13,3
94,4,14,11,0,2,18,13,6,8,10
95,3,4,8,14,4,2,0,1,1,11
96,12,14,2,10,7,18,11,14,4,0
97,18,1,17,2,15,6,6,5,17,10
98,12,9,11,13,14,7,6,5,5,17
99,10,7,17,12,18,3,10,6,11,14
100,5,13,11,13,4,12,2,10,14,4
101,1,4,15,5,14,16,17,5,2,2
102,12,0,13,0,18,1,14,0,16,10
103,11,9,10,5,17,1,14,9,16,12
104,5,1,15,5,7,8,4,6,5,2
105,3,0,3,11,4,6,4,4,5,1
106,11,16,4,11,8,0,0,18,2,14
107,13,13,11,10,14,8,12,3,12,12
108,13,3,16,11,10,2,0,4,17,18
109,15,12,13,13,16,1,6,13,11,6
110,14,7,13,3,18,5,2,8,12,0
111,1,16,14,14,2,12,7,7,3,10
112,2,13,0,12,13,9,5,12,16,13
113,0,13,3,16,1,7,9,15,8,17
114,0,3,3,17,17,11,4,5,15,10
115,13,2,5,7,16,7,10,0,14,2
116,6,4,8,10,15,2,8,9,1,4
117,0,11,8,10,0,13,4,1,8,11
118,12,4,12,8,5,14,6,7,12,15
119,17,0,10,12,17,2,16,0,17,8
120,0,7,3,16,0,4,9,10,2,2
121,10,12,14,11,9,8,7,16,14,12
122,16,6,9,6,13,6,4,1,1,13
123,1,10,15,3,1,18,3,10,7,13
124,10,12,9,16,1,15,13,18,7,11
125,1,7,7,13,4,10,1,12,15,0
126,0,5,8,16,0,14,1,9,2,4
127,1,14,1,9,13,2,1,13,18,18
128,5,0,7,0,3,4,7,14,0,10
129,1,3,1,5,3,1,3,2,11,3
130,8,16,4,14,6,15,6,10,8,17
131,18,16,4,6,16,15,6,5,17,14
132,18,18,8,4,15,17,10,16,12,2
133,16,8,10,10,14,16,10,0,15,6
134,1,15,13,10,12,7,4,14,4,18
135,4,3,6,17,7,14,2,8,8,6
136,9,14,6,6,11,5,7,10,16,15
137,4,15,5,15,18,17,7,14,2,12
138,9,12,13,12,7,12,9,10,10,9
139,9,2,7,6,3,8,16,0,12,0
140,4,9,4,10,18,6,0,5,1,3
141,18,16,7,1,14,5,3,18,17,16
142,2,2,1,3,8,13,6,8,0,1
143,14,11,4,2,1,5,7,7,4,17
144,13,16,16,18,12,16,16,9,12,13
145,9,15,15,4,2,5,12,18,10,14
146,15,13,14,14,18,15,13,11,15,5
147,10,13,10,6,16,10,13,15,12,18
148,12,13,9,15,12,16,14,3,14,13
149,5,18,0,6,17,3,18,9,2,11
150,1,0,2,14,8,2,3,14,17,10
151,10,9,7,14,7,15,10,17,9,10
152,13,8,15,6,2,4,15,5,17,3
153,11,6,9,3,1,6,2,13,18,6
154,7,9,8,8,9,11,0,1,14,6
155,0,16,2,15,2,2,1,11,8,3
156,6,16,3,4,6,18,18,12,6,8
157,1,16,1,15,6,10,0,12,8,14
158,5,13,0,17,12,14,9,10,4,12
159,6,15,15,13,16,7,8,16,10,6
160,0,4,13,16,2,3,7,13,17,9
161,5,7,4,15,15,13,1,8,3,8
162,5,16,11,16,2,17,4,12,0,16
163,17,10,9,11,0,8,16,6,16,14
164,11,16,15,1,10,1,14,5,10,16
165,4,9,16,16,7,10,2,8,14,5
166,7,18,12,3,7,0,9,12,10,17
167,12,4,14,5,7,0,17,14,5,1
168,5,7,10,4,9,10,6,2,3,12
169,8,17,0,18,10,7,8,16,0,2
170,14,14,7,5,15,13,12,16,7,18
171,16,1,10,7,12,6,3,5,14,5
172,0,6,3,3,6,8,9,15,9,7
173,1,8,0,9,13,18,5,5,0,11
174,9,11,15,14,5,11,10,15,9,0
175,8,13,10,11,9,0,5,6,7,14
176,8,1,11,9,7,9,6,11,17,18
177,15,13,17,13,14,16,11,16,9,2
178,8,13,2,3,16,12,9,9,7,15
179,5,11,5,2,7,17,12,17,2,15
180,7,6,13,3,8,6,4,4,7,17
181,0,2,3,4,3,7,0,5,1,6
182,2,10,0,2,0,4,1,11,8,17
183,8,2,5,1,11,4,6,11,1,18
184,8,3,9,8,6,3,13,2,1,15
185,18,12,4,7,16,12,2,17,7,13
186,6,17,9,13,3,7,8,18,3,6
187,14,1,1,18,14,8,18,4,13,8
188,18,13,12,4,8,5,15,14,0,16
189,4,6,3,9,5,6,13,10,1,1
190,12,16,11,5,13,1,13,13,13,12
191,10,5,6,12,10,3,11,13,4,6
192,5,1,5,3,4,6,5,6,1,5
193,11,10,10,14,6,16,12,10,18,3
194,0,16,1,15,6,16,15,18,2,14
195,14,1,7,9,8,17,11,17,9,0
196,12,6,17,17,14,16,11,10,11,15
197,4,7,16,0,11,18,0,9,5,18
198,12,12,3,14,16,10,2,16,15,8
199,8,5,2,2,8,12,7,10,6,0
200,8,2,13,9,8,3,8,0,2,2
201,11,11,3,6,15,8,9,11,8,10
202,6,16,11,17,6,18,1,10,6,11
203,0,18,7,5,8,10,10,8,12,3
204,9,18,9,16,6,17,18,13,6,13
205,0,16,1,11,16,6,0,12,8,15
206,12,12,15,13,12,9,15,16,6,4
207,2,3,10,14,13,1,10,11,0,2
208,12,7,11,17,9,11,4,5,5,15
209,14,7,5,4,12,8,17,7,4,8
210,16,13,11,3,14,13,8,8,4,11
211,12,6,13,8,9,6,3,0,2,5
212,2,13,13,17,6,5,14,0,15,10
213,14,11,4,10,16,6,13,10,13,6
214,10,9,17,13,14,14,7,14,3,4
215,13,8,14,8,13,5,12,3,10,18
216,8,10,10,7,6,12,9,11,18,14
217,14,18,15,18,1,15,14,16,15,11
218,1,7,10,13,5,0,3,18,7,8
219,10,1,17,2,11,1,9,1,13,8
220,4,11,8,9,10,16,15,10,5,6
221,11,7,4,6,0,11,17,15,1,13
222,7,18,2,10,8,14,15,6,3,7
223,2,16,6,16,6,18,5,4,3,14
224,18,15,12,9,18,9,8,7,18,6
225,2,1,12,6,2,16,15,5,15,14
226,13,11,11,1,8,12,6,10,12,9
227,11,11,10,1,18,17,9,13,15,7
228,9,14,9,18,8,15,18,10,6,6
229,12,2,4,13,15,7,18,7,11,14
230,16,7,7,13,17,12,13,10,5,8
231,14,0,16,2,17,10,16,8,13,9
232,3,11,4,12,15,17,5,18,2,11
233,6,1,4,10,11,5,3,0,7,9
234,13,1,12,12,2,1,17,1,15,13
235,17,5,14,2,10,8,18,9,2,13
236,5,2,12,11,10,6,6,7,10,5
237,15,9,8,8,16,12,7,13,10,7
238,3,8,12,7,5,5,15,10,4,5
239,1,11,12,1,10,12,15,8,5,10
240,10,6,11,1,9,16,8,6,14,10
241,7,16,7,15,8,1,0,7,9,16
242,2,0,4,10,13,0,13,3,0,5
243,7,3,15,5,3,7,17,6,17,3
244,6,3,1,13,2,4,18,0,8,13
245,3,17,5,18,14,4,1,0,14,10
246,6,18,16,13,13,15,10,16,3,18
247,1,15,3,1,2,18,3,17,18,17
248,16,12,2,8,11,3,17,9,17,14
249,6,18,10,14,6,16,7,12,0,15
250,16,8,13,15,18,5,8,2,7,5
251,18,12,18,13,6,6,14,10,13,6
252,9,8,16,16,4,4,9,4,12,15
253,13,10,17,11,3,11,11,11,15,10
254,9,13,9,16,11,15,3,14,18,13
255,7,14,11,14,7,9,17,18,7,13
256,11,5,4,15,2,8,14,16,10,5
257,12,12,12,7,1,11,0,11,9,14
258,4,18,8,13,6,14,15,9,7,10
259,14,3,15,2,12,3,5,9,11,7
260,3,3,4,1,8,12,4,12,9,4
261,12,14,13,12,0,0,6,5,15,9
262,14,11,2,16,15,13,13,11,10,10
263,2,9,9,10,10,10,9,0,17,13
264,14,0,7,17,12,1,9,14,13,5
265,6,1,13,11,9,16,2,10,18,0
266,11,0,18,6,18,3,11,17,11,2
267,3,2,3,1,7,5,17,6,2,3
268,11,8,12,18,8,8,17,16,6,5
269,2,14,6,14,9,4,1,3,2,16
270,18,0,1,11,16,1,10,17,14,4
271,0,1,0,4,1,12,12,0,6,9
272,16,3,15,8,14,3,9,11,8,0
273,1,10,1,11,1,17,0,5,3,9
274,13,10,17,1,3,11,12,10,11,13
275,5,2,5,11,18,12,2,6,8,1
276,3,18,0,7,6,3,7,18,6,16
277,18,9,11,12,16,9,16,12,14,8
278,2,10,7,11,0,10,3,15,2,13
279,5,6,1,6,6,5,3,1,10,7
280,8,18,1,17,4,3,10,16,4,2
281,4,7,10,18,1,7,3,10,6,8
282,16,17,9,3,16,16,17,5,16,15
283,11,12,0,16,9,18,11,11,5,10
284,9,18,14,17,8,16,16,1,12,2
285,12,14,6,14,3,17,13,7,11,12
286,11,8,3,5,7,15,13,1,12,3
287,0,1,4,7,9,17,0,2,7,1
288,14,0,10,4,8,0,13,0,3,0
289,0,3,3,6,3,2,11,6,0,0
290,5,7,7,8,1,5,12,3,8,5
291,8,9,4,10,17,9,18,15,6,9
292,11,0,12,7,14,13,9,14,8,1
293,16,10,15,6,11,18,9,9,7,15
294,18,5,14,5,5,6,14,3,7,5
295,12,4,10,6,5,3,14,12,15,6
296,7,16,2,17,8,17,18,10,17,12
297,15,13,9,11,11,1,18,10,0,0
298,10,9,13,1,11,15,8,0,12,11
299,6,0,0,2,5,17,6,4,14,2
300,12,12,11,10,17,13,3,3,17,12
301,11,7,13,16,12,14,16,6,12,6
302,1,6,6,8,2,13,0,10,2,6
303,13,8,17,17,15,6,10,10,17,1
304,17,11,14,12,15,13,13,2,18,17
305,3,6,11,5,8,11,7,3,11,17
306,0,9,10,5,0,0,8,2,8,0
307,5,8,5,6,17,5,14,4,6,14
308,8,8,14,1,15,13,3,10,14,13
309,4,8,3,9,6,14,10,0,4,9
310,6,14,6,11,7,16,2,1,18,12
311,18,13,12,7,0,11,4,7,15,1
312,4,2,10,6,7,4,4,0,8,6
313,10,5,16,7,1,9,17,4,16,5
314,13,17,6,17,10,18,14,18,3,13
315,15,7,3,14,3,13,3,5,13,5
316,15,9,1,7,6,12,14,9,14,2
317,16,4,15,0,9,18,13,5,9,12
318,4,13,15,10,14,4,6,11,4,11
319,7,5,3,1,2,3,8,16,7,4
320,0,7,16,15,8,15,8,2,1,16
321,4,16,9,1,6,16,10,18,6,17
322,16,3,7,4,18,1,18,16,14,8
323,10,15,12,18,9,4,13,0,0,17
324,3,17,14,17,10,2,4,6,2,17
325,16,9,18,17,0,11,8,14,11,6
326,7,10,7,16,9,11,7,0,4,5
327,9,13,13,12,8,11,9,11,9,9
328,17,12,10,4,3,4,16,12,10,16
329,15,14,5,9,13,0,15,1,2,10
330,11,17,10,17,2,6,17,3,3,14
331,15,15,18,5,12,18,18,6,5,0
332,9,11,12,13,6,13,17,14,7,15
333,5,8,2,5,4,12,6,13,7,8
334,5,7,9,9,5,8,7,8,1,8
335,15,3,17,7,2,5,14,5,13,7
336,10,17,13,12,14,15,18,3,6,15
337,18,18,7,7,11,18,18,10,1,5
338,16,1,2,2,16,0,10,15,12,3
339,1,18,0,12,17,9,12,16,3,18
340,8,2,17,12,9,0,17,1,1,6
341,0,16,2,9,6,11,1,6,2,13
342,6,15,6,10,5,17,14,0,14,8
343,1,3,4,0,17,1,18,5,7,6
344,15,0,15,16,16,0,10,16,8,14
345,3,13,8,4,4,14,4,10,3,6
346,2,8,6,8,9,12,0,9,8,7
347,15,4,8,0,4,18,10,14,15,5
348,0,9,7,3,11,11,7,12,13,18
349,16,11,4,14,13,9,11,8,2,13
350,12,0,10,2,7,14,10,3,3,17
351,1,2,12,5,5,3,1,5,4,9
352,9,11,7,11,18,5,9,13,9,4
353,12,8,17,11,5,7,5,15,14,11
354,9,7,18,11,16,8,5,7,13,12
355,16,6,12,8,15,13,16,7,5,1
356,3,13,0,8,8,9,7,15,2,16
357,3,4,1,3,8,12,16,10,3,15
358,1,8,3,14,5,11,10,8,0,2
359,11,1,10,0,13,2,0,15,14,7
360,15,3,5,1,17,5,15,16,7,4
361,2,8,15,1,17,0,2,7,4,11
362,8,8,16,7,15,1,7,6,0,9
363,9,13,6,1,16,15,6,13,7,6
364,12,8,14,14,15,9,15,17,6,12
365,14,11,14,7,12,5,15,9,14,5
366,16,3,17,6,7,15,11,0,4,17
367,8,16,14,7,9,12,8,18,1,6
368,17,0,12,3,16,2,13,1,5,12
369,18,12,3,3,14,13,11,13,4,4
370,17,6,16,17,17,14,18,5,13,5
371,5,9,8,9,2,8,3,17,12,7
372,18,8,11,9,18,6,0,15,10,8
373,3,10,14,0,6,6,1,3,16,7
374,16,13,14,13,16,7,18,7,8,9
375,11,0,10,0,15,1,12,9,2,9
376,5,10,6,1,8,4,0,7,17,13
377,16,2,18,4,11,5,4,3,11,2
378,3,16,8,3,1,11,2,5,2,0
379,11,13,11,2,7,18,2,11,16,0
380,13,11,11,12,14,13,3,3,13,15
381,6,16,3,14,13,9,4,7,17,0
382,3,0,4,1,4,4,18,15,5,6
383,14,15,14,7,14,16,2,18,13,7
384,8,12,10,3,10,14,9,13,9,11
385,11,3,15,3,8,10,8,13,10,4
386,15,18,11,16,13,3,13,8,18,17
387,0,16,12,4,5,18,3,15,2,14
388,8,3,11,5,6,18,5,14,4,4
389,10,0,12,2,11,4,4,6,14,17
390,16,2,13,6,4,11,16,3,3,3
391,15,18,15,3,14,18,2,1,10,17
392,1,7,10,17,15,13,4,7,3,14
393,12,8,7,9,4,3,9,6,17,6
394,5,4,4,3,4,4,2,6,6,4
395,12,1,14,5,12,0,12,4,14,1
396,18,10,13,14,17,11,3,12,17,6
397,0,16,1,17,2,11,2,13,0,5
398,4,6,5,6,0,4,4,12,9,1
399,1,10,1,11,3,14,3,12,12,1
400,3,7,15,5,4,8,3,10,1,10
401,6,1,4,11,3,10,7,9,14,7
402,18,1,1,1,11,5,15,4,12,8
403,14,12,13,13,18,13,13,14,13,0
404,11,0,6,8,12,1,15,1,11,6
405,14,17,9,17,18,6,15,15,14,2
406,6,18,3,15,10,13,13,15,8,14
407,4,9,4,2,3,15,18,6,8,14
408,14,7,12,8,9,11,1,4,12,10
409,6,11,3,13,6,7,1,2,9,14
410,11,10,3,5,16,16,17,11,9,10
411,11,12,13,12,16,2,14,2,4,0
412,13,2,12,2,11,2,4,12,18,10
413,9,6,7,12,6,8,12,7,9,7
414,11,7,10,16,9,6,14,5,12,7
415,8,7,13,6,4,17,8,3,5,5
416,7,0,1,6,2,5,9,15,5,2
417,4,16,10,3,8,3,12,11,3,12
418,18,9,12,7,13,14,7,1,6,3
419,8,3,12,15,4,5,8,1,7,1
420,17,3,2,13,11,18,16,3,18,2
421,11,3,2,12,11,5,18,5,11,1
422,16,0,15,0,7,8,11,11,8,5
423,16,10,16,9,8,9,15,10,12,3
424,9,1,11,7,14,1,3,4,5,0
425,3,18,5,3,3,15,0,18,4,10
426,3,17,1,17,7,7,3,18,8,12
427,1,6,11,2,15,15,10,9,2,11
428,1,14,2,16,17,3,5,9,8,5
429,13,17,7,15,10,7,4,18,9,17
430,5,0,8,1,9,6,3,5,1,5
431,12,17,5,13,11,18,17,11,4,1
432,5,14,4,11,12,7,0,0,2,14
433,12,0,11,12,3,11,2,8,12,8
434,2,0,1,15,2,5,15,1,9,8
435,6,18,7,18,15,8,0,13,4,12
436,7,10,16,10,16,5,3,15,16,2
437,3,0,5,4,15,7,10,9,0,2
438,3,15,1,14,12,18,1,16,10,12
439,14,12,8,15,14,9,0,9,9,18
440,1,2,18,7,0,3,8,2,17,5
441,10,14,16,10,6,13,9,4,14,10
442,2,7,14,5,14,17,3,7,8,18
443,14,15,11,15,10,9,9,12,5,7
444,3,0,11,14,2,8,10,5,6,2
445,17,7,14,8,13,17,16,14,17,4
446,13,10,7,0,15,15,5,8,0,16
447,7,17,7,15,9,9,16,12,1,6
448,14,5,5,11,7,6,3,4,13,4
449,6,0,3,0,17,5,12,10,12,14
450,14,15,15,8,5,7,17,0,1,5
451,6,8,0,17,15,17,5,8,5,10
452,12,2,17,1,8,1,11,2,8,0
453,13,2,8,8,10,1,6,8,11,14
454,11,13,18,1,1,14,10,18,9,14
455,14,2,16,2,1,9,15,8,12,3
456,9,18,18,12,16,9,6,18,18,16
457,5,14,6,14,0,10,0,17,8,17
458,0,8,1,8,5,2,10,1,9,3
459,16,15,15,4,10,12,17,15,10,16
460,8,15,12,2,13,18,8,10,14,9
461,9,4,13,3,17,9,6,8,2,10
462,0,4,10,8,0,3,14,16,0,5
463,1,1,5,18,1,2,15,4,14,16
464,8,8,6,9,7,9,11,8,17,9
465,3,4,8,4,10,1,0,4,11,4
466,10,8,11,7,10,14,10,0,13,10
467,4,14,4,11,10,17,2,13,17,15
468,12,4,13,4,11,2,12,0,11,7
469,17,7,17,10,17,1,16,5,18,3
470,6,5,11,16,9,10,16,10,10,9
471,13,8,18,4,13,4,10,8,11,16
472,5,7,13,8,11,5,5,10,8,6
473,13,16,17,2,8,11,14,15,14,17
474,15,7,10,6,17,7,12,18,9,8
475,2,7,14,3,0,4,10,4,8,5
476,15,13,14,13,10,7,15,12,15,15
477,11,5,6,2,7,6,13,0,16,6
478,4,6,4,13,8,17,15,14,4,7
479,18,11,4,17,4,10,15,7,17,11
480,15,1,17,14,14,11,12,2,6,5
481,10,12,2,7,2,3,13,3,14,13
482,11,9,4,17,11,6,5,7,12,11
483,8,9,10,12,18,17,2,9,9,14
484,13,8,9,14,14,18,7,5,12,8
485,2,14,0,18,6,13,2,15,7,10
486,18,4,16,5,0,1,17,0,18,8
487,11,9,15,8,8,13,18,16,10,11
488,12,2,14,18,8,15,17,10,0,0
489,12,17,14,16,14,14,14,2,5,3
490,15,2,18,2,17,2,15,4,12,3
491,11,8,11,17,6,16,6,9,10,8
492,2,7,4,6,1,4,4,18,5,9
493,12,1,0,17,0,7,4,12,12,5
494,0,12,18,10,10,15,7,6,2,8
495,4,2,1,2,13,6,7,0,4,1
496,5,8,2,15,18,9,2,16,17,5
497,0,13,9,11,11,5,5,10,15,5
498,12,2,16,4,13,5,11,2,17,10
499,9,5,9,13,9,14,7,6,11,10
