environment,algorithm,trial_label,study_trial_number,source_episode_or_hil_trial_id,target_location,top_k_rate,top_k_cells,scenario_sha256,allocator_calls,candidate_filter_calls,allocation_exclusive_mean_us,reported_allocator_solve_mean_us,unattributed_nonfilter_overhead_mean_us,candidate_filter_mean_us,candidate_filter_contribution_per_allocator_call_us,combined_allocator_mean_us
physical,HIPC,HIPC 5,5,473,13/16,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,10,1224495.9,1213044.6,11451.3,2004576.2,2004576.2,3229072.1
HIL,HIPC,HIL HIPC 7,,7,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,28,22,1623560.5,,,1982919.9090909092,1558008.5,3181569.0
HIL,HIPC,HIL HIPC 12,,12,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,141,6,127892.0354609929,,,553314.5,23545.297872340427,151437.33333333334
HIL,HIPC,HIL HIPC 32,,32,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,135,4,94304.12592592592,,,550333.25,16306.17037037037,110610.29629629629
HIL,HIPC,HIL HIPC 45,,45,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,172,35,322146.2965116279,,,1893675.7142857143,385340.988372093,707487.2848837209
HIL,HIPC,HIL HIPC 50,,50,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,262,262,1258429.3931297709,,,715419.965648855,715419.965648855,1973849.358778626
HIL,HIPC,HIL HIPC 56,,56,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,331,161,485815.1993957704,,,556030.9440993789,270456.13897280965,756271.3383685801
HIL,HIPC,HIL HIPC 67,,67,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,202,153,757464.1633663366,,,1067698.6078431373,808702.4108910891,1566166.5742574257
HIL,HIPC,HIL HIPC 80,,80,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,134,112,785651.8432835821,,,1677739.8660714286,1402290.037313433,2187941.880597015
HIL,HIPC,HIL HIPC 94,,94,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,122,82,741814.5901639344,,,610976.6585365854,410656.4426229508,1152471.0327868853
HIL,HIPC,HIL HIPC 108,,108,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,198,11,149381.97474747474,,,527059.6363636364,29281.090909090908,178663.06565656565
HIL,HIPC,HIL HIPC 127,,127,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,149,7,133586.40939597314,,,1241254.5714285714,58313.973154362415,191900.38255033558
HIL,HIPC,HIL HIPC 132,,132,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,171,53,402954.63742690056,,,2195044.5283018867,680335.4385964912,1083290.076023392
HIL,HIPC,HIL HIPC 164,,164,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,239,154,625459.3640167364,,,627644.2272727273,404423.4769874477,1029882.8410041841
HIL,HIPC,HIL HIPC 166,,166,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,211,187,916567.7488151658,,,553830.8823529412,490835.90047393367,1407403.6492890995
HIL,HIPC,HIL HIPC 178,,178,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,44,6,369318.45454545453,,,2920826.5,398294.5227272727,767612.9772727273
HIL,HIPC,HIL HIPC 216,,216,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,41,21,1237344.3902439023,,,2393930.380952381,1226159.463414634,2463503.8536585364
HIL,HIPC,HIL HIPC 226,,226,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,158,130,676465.5316455696,,,1675725.1076923078,1378761.164556962,2055226.6962025317
HIL,HIPC,HIL HIPC 233,,233,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,41,32,1436575.756097561,,,678849.71875,529833.9268292683,1966409.6829268292
HIL,HIPC,HIL HIPC 274,,274,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,176,98,446718.51136363635,,,710027.6530612245,395356.3068181818,842074.8181818182
HIL,HIPC,HIL HIPC 313,,313,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,123,57,590609.487804878,,,1075625.49122807,498460.59349593497,1089070.081300813
HIL,HIPC,HIL HIPC 358,,358,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,171,61,431008.8713450292,,,1132350.6721311475,403937.9590643275,834946.8304093567
HIL,HIPC,HIL HIPC 371,,371,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,102,53,708394.9509803922,,,1300941.4905660378,675979.4019607843,1384374.3529411764
HIL,HIPC,HIL HIPC 388,,388,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,288,119,406998.02777777775,,,905325.5546218487,374075.4895833333,781073.5173611111
HIL,HIPC,HIL HIPC 398,,398,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,20,8,1089485.9,,,2341441.75,936576.7,2026062.6
HIL,HIPC,HIL HIPC 424,,424,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,78,62,766622.5,,,705702.3064516129,560942.858974359,1327565.358974359
physical,PI,PI 1,1,4,5/9,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,10,746564.4,425821.5,320742.9,1210199.2,1210199.2,1956763.6
physical,PI,PI 2,2,53,7/2,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,12,12,702598.0,377822.4166666667,324775.5833333333,339269.6666666667,339269.6666666667,1041867.6666666666
physical,PI,PI 3,3,232,3/11,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,15,15,667730.3333333334,343092.6666666667,324637.6666666667,1759040.4666666666,1759040.4666666666,2426770.8
physical,PI,PI 4,4,394,5/4,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,7,7,727931.2857142857,404011.5714285714,323919.71428571426,136731.2857142857,136731.2857142857,864662.5714285715
physical,PI,PI 5,5,473,13/16,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,15,15,742779.5333333333,418104.4666666667,324675.06666666665,2065264.1333333333,2065264.1333333333,2808043.6666666665
HIL,PI,HIL PI 7,,7,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,10,4,709569.9,,,1801112.75,720445.1,1430015.0
HIL,PI,HIL PI 12,,12,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,140,5,77009.25,,,704068.0,25145.285714285714,102154.53571428571
